id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugx48JYsnQy5sZwl2094AaABAg	0	1	2019-04-15 21:31:25	golf-n-guns	★☆★☆ <b>T R U M P 2020</b> ☆★☆★	UCjZBMZjVAEqPdXtPQK8XvPg	http://www.youtube.com/channel/UCjZBMZjVAEqPdXtPQK8XvPg	0		
UgzncUmZhH5fmYVMfrN4AaABAg	0	1	2019-04-15 21:27:21	takethepowerback83	Wow! That was awesome 😎	UCzH1zcgZZjocrkkHwqWVAsg	http://www.youtube.com/channel/UCzH1zcgZZjocrkkHwqWVAsg	0		
UgwALVlbWTInaZ_V7L94AaABAg	0	2	2019-04-15 21:24:07	Pearl White	At the polls, voting for my favorite President! 🇺🇸👍💓👍🇺🇸	UC1wkvEF0m7MHI-kCnMugVJA	http://www.youtube.com/channel/UC1wkvEF0m7MHI-kCnMugVJA	0		
UgzKdaCxDrPLou_s4Vd4AaABAg	0	2	2019-04-15 21:23:48	Aidan Neary_25	Too young to but I wish I could	UCvl9JELjAq4Miz4JM1erhJA	http://www.youtube.com/channel/UCvl9JELjAq4Miz4JM1erhJA	0		
UgyxHyeO3zDXIlPLFa14AaABAg	0	2	2019-04-15 21:22:34	leb nene	God bless President Trump .	UCan_7BnEJ5zCphtW3YBaiNw	http://www.youtube.com/channel/UCan_7BnEJ5zCphtW3YBaiNw	0		
Ugwup_Xq2mzUqXpU9yR4AaABAg	0	0	2019-04-15 21:18:31	Adinix	Oooo some good hidden gems in this one.<br />Jackson the Fed.<br />CNN = Projection<br />Senator Lindsey Graham&#39;s line of questioning about Enemy Combatants.<br />Get em Q+	UC72k7QJnswfoRp5hSChP5yQ	http://www.youtube.com/channel/UC72k7QJnswfoRp5hSChP5yQ	0		
UgwbGDw4HM6SE1otUbN4AaABAg	0	0	2019-04-15 21:18:09	Alexandria’s Art	I hate Donald trump he can go die in hell he is racist sexist and a pervert that does not deserve to be in office <a href="http://www.youtube.com/results?search_query=%23bring">#bring</a> Barrack Obama back	UCpP8LZ_c_qL2lqq1K061jdA	http://www.youtube.com/channel/UCpP8LZ_c_qL2lqq1K061jdA	0		
Ugwb7I3xvme4XmIEP9d4AaABAg	0	2	2019-04-15 21:17:32	xX.Annihilator. Xx	Hispanics for Trump❤	UCxxTZgkUxgVNpMTfrbHhS7w	http://www.youtube.com/channel/UCxxTZgkUxgVNpMTfrbHhS7w	0		
UgxsfwtZ3u3z5d9XD0t4AaABAg	0	2	2019-04-15 21:17:19	Annette Lofton	Love it, Love him!!!!❤❤❤😃 Presidency just fits Him.😃💪💪💪💪💪💪💪💪🙌🙌🙌🙌👍👍	UC5YVxYJPa5ls9H6XunXf1SQ	http://www.youtube.com/channel/UC5YVxYJPa5ls9H6XunXf1SQ	0		
UgzxWctP63JSWNouXJN4AaABAg	0	3	2019-04-15 21:15:41	Mrs. Pean	Praying for another win.	UCajkVXsq_8enotBPtODp8Pw	http://www.youtube.com/channel/UCajkVXsq_8enotBPtODp8Pw	0		
UgwrlgA7uI4ZsOHfpKt4AaABAg	0	0	2019-04-15 21:13:34	Robin Shafer	Voting Trump!	UCNRWlDO0WAv6fd14ssWABbQ	http://www.youtube.com/channel/UCNRWlDO0WAv6fd14ssWABbQ	0		
UgxoCy1SzllcAgo3GLN4AaABAg	0	1	2019-04-15 21:12:29	Doc Idu	Would love to see that! BUILD THAT WALL! (for real)! DEPORT THEM ALL!! END IMMIGRATION! MAGA NOT MIGA!	UCv3iYNrIVxQQhgSlKHUj01w	http://www.youtube.com/channel/UCv3iYNrIVxQQhgSlKHUj01w	0		
Ugw-JANESgUaETa354R4AaABAg	0	2	2019-04-15 21:11:43	Paula Oliver	I thank God for you everyday Mr. President!	UCEiLslecruyXyRzlEHPg6lg	http://www.youtube.com/channel/UCEiLslecruyXyRzlEHPg6lg	0		
Ugw6sPmcKtOV71aHzcF4AaABAg	0	1	2019-04-15 21:10:38	Christine Madrazo	Bravo!	UChLLbbKfECDqP6LkW7BW0tw	http://www.youtube.com/channel/UChLLbbKfECDqP6LkW7BW0tw	0		
UgximzVhknN_yfAFS314AaABAg	0	1	2019-04-15 21:08:39	Alaco123	Okay this is Epic	UC6_62IrdUMeDBlWUIWgPyRg	http://www.youtube.com/channel/UC6_62IrdUMeDBlWUIWgPyRg	0		
